gh_project_name
sarxos/webcam-capture
h3xstream/find-sec-bugs
azagniotov/stubby4j
twitter/commons
SQiShER/java-object-diff
graphhopper/graphhopper
searchbox-io/Jest
sevntu-checkstyle/sevntu.checkstyle
nurkiewicz/spring-data-jdbc-repository
hamcrest/JavaHamcrest
sachin-handiekar/jInstagram
mikaelhg/urlbuilder
bartdag/py4j
cloudfoundry/uaa
searls/jasmine-maven-plugin
mybatis/mybatis-3
mybatis/spring
twitter/hbc
undera/jmeter-plugins
albertlatacz/java-repl
sahan/RoboZombie
l0rdn1kk0n/wicket-bootstrap
jsonld-java/jsonld-java
mpatric/mp3agic
lviggiano/owner
ActiveJpa/activejpa
restlet/restlet-framework-java
trautonen/coveralls-maven-plugin
dropwizard/dropwizard
twitter/hraven
shyiko/mysql-binlog-connector-java
owlcs/owlapi
DSpace/DSpace
doanduyhai/Achilles
rackerlabs/blueflood
p6spy/p6spy
checkstyle/checkstyle
Unidata/thredds
torakiki/pdfsam
brettwooldridge/HikariCP
mockito/mockito
gresrun/jesque
go-lang-plugin-org/go-lang-idea-plugin
rockerhieu/emojicon
larsga/Duke
FasterXML/jackson-core
FasterXML/jackson-annotations
FasterXML/jackson-databind
levkhomich/akka-tracing
nohana/Laevatein
devnied/EMV-NFC-Paycard-Enrollment
jcabi/jcabi-aspects
jcabi/jcabi-github
jcabi/jcabi-http
jphp-compiler/jphp
syncany/syncany
querydsl/querydsl
thatJavaNerd/JRAW
igniterealtime/Smack
spotify/helios
griffon/griffon
puniverse/capsule
azkaban/azkaban
broadinstitute/picard
yegor256/rultor
lenskit/lenskit
TestFX/TestFX
hsz/idea-gitignore
sanity/quickml
satyan/sugar
dblock/waffle
BoltsFramework/Bolts-Android
numenta/htm.java
OpenTSDB/opentsdb
knightliao/disconf
iluwatar/java-design-patterns
bumptech/glide
jwtk/jjwt
mbosecke/pebble
JavaMoney/jsr354-api
connectbot/connectbot
myui/hivemall
ksoichiro/Android-ObservableScrollView
drewnoakes/metadata-extractor
qos-ch/slf4j
jtwig/jtwig
bugsnag/bugsnag-android
qos-ch/logback
GoogleCloudPlatform/DataflowJavaSDK
javaparser/javaparser
SonarSource/sonarqube
grpc/grpc-java
square/keywhiz
psi-probe/psi-probe
javaslang/javaslang
kongchen/swagger-maven-plugin
caelum/mamute
jamesagnew/hapi-fhir
biojava/biojava
bitcoinj/bitcoinj
