,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_lang,git_branch,gh_num_commits_in_push,git_prev_commit_resolution_status,tr_prev_build,gh_first_commit_created_at,gh_team_size,gh_sloc,gh_pushed_at,tr_status,tr_log_setup_time,tr_log_bool_tests_failed,tr_log_buildduration
3291254,116337176.0,openSUSE/open-build-service,False,,ruby,master,1.0,build_found,116337020.0,2015-10-29 16:01:12,20,30947,2016-01-27,passed,24.0,,
3294747,116713220.0,projecthydra/sufia,True,2016-03-17 18:20:24,ruby,master,2.0,build_found,116709530.0,2015-10-28 09:04:27,39,6978,2016-03-21,failed,0.0,True,
3294748,116713720.0,locomotivecms/engine,False,,ruby,master,1.0,build_found,116707710.0,2015-10-28 09:04:27,9,9853,2016-03-17,passed,2.0,False,
3294756,116714210.0,twitter/secureheaders,True,2016-03-15 22:56:56,ruby,master,1.0,build_found,116486530.0,2015-10-28 09:04:27,8,1721,2016-03-17,passed,2.0,,
3294774,116717304.0,rpush/rpush,False,,ruby,master,3.0,merge_found,,2015-10-28 09:04:27,12,5357,2016-03-17,passed,5.0,False,
3297179,116996776.0,openfoodfoundation/openfoodnetwork,True,2016-02-21 12:54:31,ruby,master,1.0,build_found,116269464.0,2015-10-30 23:30:23,16,19759,2016-03-18,failed,1.0,False,
3302204,117403880.0,sferik/rails_admin,False,,ruby,master,2.0,merge_found,,2015-11-02 23:17:35,23,5362,2016-03-21,passed,6.0,True,
3302229,117404090.0,sferik/rails_admin,False,,ruby,master,2.0,merge_found,,2015-11-02 23:21:45,23,5362,2016-03-21,passed,15.0,False,
3302255,117405280.0,sferik/rails_admin,False,,ruby,master,3.0,merge_found,,2015-11-02 23:26:22,23,5362,2016-03-21,passed,3.0,False,
3302280,117405870.0,sferik/rails_admin,False,,ruby,master,2.0,merge_found,,2015-10-29 18:22:59,23,5362,2016-03-21,passed,3.0,False,
3302312,117406090.0,openSUSE/open-build-service,True,2016-03-18 09:18:24,ruby,master,4.0,build_found,116636870.0,2015-11-02 23:41:31,20,30976,2016-03-21,passed,26.0,False,
3303290,117495290.0,mattbrictson/airbrussh,False,,ruby,master,2.0,merge_found,,2015-11-03 07:35:22,3,500,2016-03-21,passed,1.0,,
3303317,117496120.0,sferik/sign-in-with-twitter,False,,ruby,master,2.0,build_found,117144930.0,2015-10-18 19:38:11,2,127,2016-03-21,passed,1.0,False,
3304226,117566510.0,puppetlabs/facter,False,,ruby,master,2.0,merge_found,,2016-03-16 18:22:11,48,997,2016-03-21,passed,25.0,,
